,doi,text,label,split
32,10.1021/acsami.6b16000,Only Na2 ions can be extracted during charging and discharging because of strong limitation of the Na ions at M1 sites by the surrounding oxygen atoms.,micro,train
33,10.1016/j.jpowsour.2019.226760,"In sodium-ion batteries, anode materials, such as carbon , alloys , oxides and organic compounds [,], have been widely reported, but the coulombic efficiency, volume expansion, low capacity and low electronic conductivity limit their application.",macro,train
34,10.1021/acsnano.5b06958,"However, the mechanism of its electrochemical reaction is not yet fully understood.",micro,train
35,10.1016/j.nanoen.2015.12.028,We are aware of the longstanding dendrite growth issue of metallic Na anodes.,micro,train
36,10.1002/anie.201907189,"Now, well-ordered 2D superlattices of monolayer titania and carbon with tunable interlayer-spacing are synthesized by a molecularly mediated thermally induced approach.",no,train
37,10.1021/am502343s,They still stand in need of better cathodes in terms of their structural and electrochemical aspects.,intro,train
38,10.1039/c3ta10210f,The growth story of the Li-ion battery has recently met with the concerns over dwindling lithium resources and rising cost.,intro,train
39,10.1039/c4ta04351k,"The deficiency of sodium ions is a disadvantage of P2-type Na2/3[Mg0.28Mn0.72]O2 (the first discharge capacity is much larger than that of the first charge capacity as shown in Fig. 2a) when it is intended to design practical NIBs combined with conventional negative electrodes, such as hard-carbon which has no sodium ions to compensate.",micro,train
40,10.1016/j.matlet.2019.04.102,"In addition, the defects in the lattice and coordinated water are hard to avoid when the samples are fabricated via co-precipitation methods.",micro,train
41,10.1016/0378-7753(86)80042-8,"The electric potential profile on the sulfur electrode container, and the cell voltage fluctuation have been monitored by in-test analysis methods.",no,train
42,10.1002/adfm.201900790,"In the present scenario, hard carbons appear currently most promising for SIBs, though they have been presently outruled for use in LIBs due to safety concerns at high guest uptake.",no,train
43,10.1016/j.electacta.2019.135422,"Sodium-ion batteries are a promising alternative to lithium-ion devices, but the development of proper negative electrode materials is still challenging.",micro,train
44,10.1002/smll.201802913,Massive volume change of active materials in lithium/sodium ion batteries (LIB/SIB) causes severe structural collapse of electrodes and fast capacity decay of batteries.,both,train
45,10.1002/anie.201604158,"Accordingly, the conductivity value decreased by approximately one order of magnitude (from 0.11 to 0.02 mS cm-1), confirming the instability of NPS in dry air.",both,train
46,10.1039/c6cp00070c,(3) Co- and Ni-based polyanions: the Co and Ni compounds present a distinct trend.,no,train
47,10.1039/c8cc05888a,"Multi-doped Fe and Mn elements for layered oxides are probably the main reason, which caused a region of biphasic coexistence in the structural transition process at the deep charging stage.",no,train
48,10.1002/aenm.201400458,"However, about 40% of its capacity is lost when the cell is discharged at the higher current density of 150 mA/g, resulting in the specific capacity of [?",no,train
49,10.1002/batt.201900159,"Figure 3 c and Figure 3 d illustrate the long-term cycling performance at 0.2 A g-1 and 0.5 A g-1, and capacity decay is observed during the activation of initial three cycles at 0.1 A g-1.",macro,train
50,10.1002/batt.201800073,"In the case of Na-ion chemistry, Pyr14TFSI appears very promising while the use of PyrH4TFSI is not applicable due to the lack of electrochemical stability below 1 V vs. Na/Na+.",micro,train
51,10.1016/j.nanoen.2018.04.018,"Expectedly, the evolutions of Co3X4 from these anions contribute to the observed variation within the behaviors of its Na-storage capabilities in terms of reversibility, hysteresis voltage, cycle stability and rate performance.",no,train
52,10.1021/acs.chemmater.8b03463,a1 between 0.01 to 3.0.,no,train
53,10.1039/c8ta01525b,The irreversible capacity in the first few cycles may be due to irreversible reaction from the electrode impurity and the formation of an SEI layer on the surface of electrode materials.,both,train
54,10.1021/cm400864n,This strongly suggests that the a-Li0.75MnO2 composition will be thermodynamically accessible during cycling at room temperature.,no,train
55,10.1016/j.jpowsour.2014.04.038,"The low 1st coulombic efficiency should be improved, however, pyrolytic carbons from graphite oxide would be promising for the negative electrode of sodium ion battery.",macro,train
56,10.1002/anie.201905803,"Although the capacity fading over cycles is serious, the as-prepared C/g-C3N4 shows a maximum capacity up to about 700 mAh g-1 (Supporting Information, Figure S11C).",macro,train
57,10.1039/c3ee24086j,"The electrolytes play a fundamental role in terms of current (power) density, the time stability, and the safety of batteries, as a result, their continuous improvement and innovation are indeed critical to success.",intro,train
58,10.1002/asia.201900648,The author information of this manuscript is corrected by marking Prof. Dr. Xiuxia Zuo (E-mail: zuoxiuxia@nimte.ac.cn) as a corresponding author.,no,train
59,10.1016/j.electacta.2017.02.007,"Despite being very preliminary, and needing further investigation in terms of electrolyte composition, voltage limits and extended cycling, this performance suggests the electrolyte studied here as suitable candidate for sodium batteries.",no,train
60,10.1039/c5ta05931c,"Compared with the excellent lithium storage, further efforts are urgently required to improve the sodium storage ability of NCO.",intro,train
61,10.1039/c4ta00230j,Na3V2(PO4)3 with a NASICON framework generates high performances as a cathode material in sodium-ion batteries.,no,train
62,10.1002/adfm.201502433,"This device, utilizing highly reversible, high-rate, cost-effective Na-ion intercalational pseudocapacitance, can bridge the performance gap between batteries and supercapacitors.",no,train
63,10.1039/c8ta11999f,"In summary, despite the great achievements made in the current RT Na-S battery, it is still in its infant stage and great efforts should be made to catch up with the pace of Li-S batteries.",intro,train
64,10.1002/aenm.201803609,"On the other hand, the carefully chosen elements in the electrodes also largely determine the cost of SIBs.",intro,train
65,10.1039/c9ta03380g,"However, a large volume expansion (293%) upon complete sodiation to Na3Sb leads to electrode pulverization and loss of contact with the current collector, ultimately resulting in rapid capacity fading, which clearly limits its practical application.",both,train
66,10.1002/aenm.201703055,"While these electronic devices are more evident and appealing to consumers, there has been a growing concern for micro-to-mega grid storage systems.",no,train
67,10.1039/c7ta04515h,"The P2-type Na0.67MnO2 slabs exhibit good electrochemical performance in a narrow voltage window, but still suffer from capacity fading in long-term cycling due to the volume change and disproportionation of Mn3+ to Mn4+ and electrolyte-soluble Mn2+.",both,train
68,10.1016/j.elecom.2016.11.010,"Finally, a [FSI]- based pyrrolidinium IL mixture has been studied, indicating poor stability of the O2/O2 - redox process.",micro,train
69,10.1039/c4ta06001f,"However, the NVP-CNF-4 h electrode without the conducting agent showed significantly decreased capacity and much higher overpotential.",macro,train
70,10.1021/acsami.8b14918,"However, conventional batteries with limited lifetime, rigid architecture, and inferior energy density greatly restrict their applications in patientas body.",macro,train
71,10.1016/j.cej.2018.09.204,"However, A-site cations studied were limited to Pb2+ ion, which restricts the comprehensive study of the catalytic origin of the pyrochlore oxide and the studies of the development of additional A-site cations still remains big challenge [23,24].",micro,train
72,10.1016/j.cej.2020.124210,"When testing under a high rate, the flexible graphene aerogel can effectively suffer the fast volume change and stable the structure.",no,train
73,10.1039/c6cp00070c,"The Co and Ni compounds present a distinct trend with the redox reaction occurring with a strong participation of the oxygen sublattice, resulting in a very small volume change upon desodiation.",no,train
74,10.1002/aenm.201801446,It is demonstrated that the chemical space of P2 layered compounds is not fully explored yet and that ab initio phase diagrams allow the determination of new high-specific energy positive electrodes to be targeted experimentally.,macro,train
75,10.1039/c5cp07474f,"Interestingly, there was no significant difference either in the specific capacity (per unit mass of material excluding Li/Na) or in the predicted voltage between Li and Na storage.",no,train
76,10.1016/j.jpowsour.2010.01.019,"Meanwhile, it was found that the insertion and extraction of Na ion was hardly taken place during the charge and discharge process, because the ICP measurements showed that the concentration of Na ion in the electrolyte of the cells after 10 cycles of charge and discharge was so low that it cannot be detected.",both,train
77,10.1021/acsami.7b05178,capacity loss of 0.035% decay per cycle.,no,train
78,10.1039/c6ta01111j,"Furthermore, for safe operation, it is necessary to avoid the use of sodium metal in the ion-exchange process.",intro,train
79,10.1016/j.matdes.2019.108287,"However, poor electronic conductivity usually results in the low rate capacity and poor cyclability, limiting its application.",both,train
80,10.1039/c7cp02483e,"However, similar to other polyanionic compounds, the relatively low electronic conductivity has become a major factor hindering its high rate performance.",both,train
81,10.1039/c6ta04986a,"In view of the ion mobility, the bulk V2O5 is not good enough for Na-, K- and Mg-ion batteries due to the high migration barriers, although the voltages are ideal.",both,train
82,10.1039/c8ta09833f,"However, the initial charge capacity is substantially lower than the discharge capacity because of the insufficient amount of sodium in their crystal structure, hindering practical application of these materials as cathodes in sodium-ion batteries (SIBs).",both,train
83,10.1002/aenm.201800212,"However, SIB research at present seldom involves safety properties such as the surface chemistry and temperature stability that have been studied intensively in LIBs.",intro,train
84,10.1016/j.electacta.2020.135761,"As compared with those of annealed samples, although there are also three similar voltage plateaus, the discharge capacity of unannealed P2-NNMO thin film drops seriously, demonstrating poor cyclability and rate performance.",both,train
85,10.1002/asia.201301461,"However, slightly more capacity fading was the main concern for Na insertion.",macro,train
86,10.1016/j.ssi.2018.02.039,What is the intrinsic mechanism concerning the better dynamics of Na than Li?,no,train
87,10.1039/c5cc02251g,Anthraquinone-based polymers like poly(anthraquinoyl sulfide) (PAQS) displays stable cyclic performance in lithium batteries (210 mA h g-1 after 40 cycles at 50 mA h g-1) and high rate capability in sodium batteries (130 mA h g-1 at 16 C and 118 mA h g-1 at 32 C).,no,train
88,10.1016/j.elecom.2017.12.029,The scarcity of lithium resources is becoming visible with the application of lithium-ion batteries (LIBs) expanded from portable electronics to large-scale energy storage system.,intro,train
89,10.1002/smtd.201700098,"With respect to the organic compounds, their sluggish charge-transport kinetics and the issue of dissolution in electrolyte greatly inhibit their practical application, and, therefore, encapsulating the organic compound in the carbon matrix is highly desired to improve the charge-transfer kinetics and to select suitable electrolyte.",micro,train
90,10.1039/c5cc09656a,"However, the success on the anode side is yet comparably limited.",macro,train
91,10.1016/j.jpowsour.2020.227734,"As a novel negative electrode for SIBs, it is necessary to explore the Na+ ion storage mechanism.",no,train
92,10.1039/c5ra06275f,"In order to meet the ever-growing market demand for energy storage devices, therefore, much effort has been made to explore Na-ion batteries to partly substitute currently commercialized Li-ion batteries.",intro,train
93,10.1021/acs.chemmater.5b02918,"This self-discharge behavior, which seems to be accompanying electrolyte decomposition, not only negatively affects the Coulombic efficiency but also continuously increases the electrode impedance possibly by building up the surface layer on electrodes.",both,train
94,10.1039/c2ra20666h,"Particularly, the doping method described in this work is simple and easily extended to other conducting polymers, providing a new strategy for creating low cost and electrochemically active polymer materials for widespread electric storage applications.",no,train
95,10.1016/j.jallcom.2019.01.125,"However, the specific capacity of bulk-Na3Fe2(PO4)3 is so low for the using in energy storage and the conductivity of Na3Fe2(PO4)3 is poor which has caused obvious capacity fading during the charge-discharge processes and the specific capacity is far away from theoretical capacity (105 mAh g-1).",macro,train
96,10.1002/anie.201908830,"Herein, by exploring optimized eutectic systems of Na and K salts with asymmetric imide anions, we discovered, for the first time, room-temperature hydrate melts for Na and K systems, which are the second and third alkali metal hydrate melts reported since the first discovery of Li hydrate melt by our group in 2016.",no,train
97,10.1039/c5ta05205j,"Nevertheless, low discharge capacity of 127 mA h g-1 was observed when the material was cycled in the range of 2.5-4.5 V at a rate of C/20 (1C = 241 mA g-1).",macro,train
98,10.1021/acsami.8b12610,"Because Mo 6 S 8 has inherent high electronic conductivity and small volume change during Na + intercalation/deintercalation and is electrochemically and chemically stable with the Na 3 PS 4 sulfide electrolyte, the only challenge of using Mo 6 S 8 as the cathode for ASIBs would be the insufficient contact between solid Mo 6 S 8 and the SE.",macro,train
99,10.1016/j.cej.2018.09.204,"Although the pyrochlore oxides (A2B2O7) exhibits great potential for highly-active bifunctional electrocatalyst, the lack of studies regarding to A-site cations have hindered the development of new pyrochlore catalysts with comprehensive understanding of catalytic activity.",intro,train
100,10.1039/c4ta04351k,The sample surprisingly delivers a large reversible capacity (220 mA h g-1) even though electrochemically inactive magnesium ions are enriched in the host structure.,no,train
101,10.1039/c6cp00651e,Lower temperatures are desirable from a safety perspective and therefore the development of NIBs based on intercalation compounds is highly desirable.,no,train
102,10.1002/smtd.201800119,The development of electrode materials with superior cycling stability is currently receiving intensive research for next-generation portable electronic equipment.,no,train
103,10.1021/cm202076g,"reversible plateau around 0.3. vs Na+Na0 with concomitant intercalation of ca.. additional sodium ions in the structure (i.e., reduction of 2/3 of Ti(IV) to Ti(III)).",no,train
104,10.1039/c6ra06047a,"SEM, XRD and DSC studies show that the crystallinity of the polymer electrolyte membranes decreases on increasing the concentration of IL due to the plasticization effect of the IL.",no,train
105,10.1016/j.jallcom.2019.152581,"In this way, it seems that the thickness of diffusion layer is not far enough, which may be affected by solid-liquid interface, electron/ion transmission distance and resistance in the transmission process.",no,train
106,10.1002/cssc.201701484,"The capacity of the carbon matrix at this potential range is only 1.8 mAh g-1, which can be neglected (Figure S5).",no,train
107,10.1016/j.electacta.2019.134693,"In summary, more stable, safer and more cost effective solution than the use of NaN3 is proposed in this work to solve the issue of Na deficiency issue of P2-type layered oxides.",micro,train
108,10.1016/j.jelechem.2017.06.002,Changes in the composition of the electrode surface films with continuous cycling are consistent with the deposition of electrolyte decomposition products on the anode surface.,micro,train
109,10.1002/aenm.201402235,"In addition, the pore size distribution is apparently uneven compared with the current commercial separators for batteries (Figure 1 A and B).",micro,train
110,10.1016/j.ssi.2019.115169,"Conversion to Na-b''-Al2O3 was higher for composites with YSZ-3 versus those with YSZ-8, which was unexpected since the latter has higher bulk oxygen conductivity.",no,train
111,10.1021/acs.jpcc.8b11069,"Besides, carbonate-based electrolyte will aggravate shuttling effect for the unstable SEI membrane and side reaction with polysulfides.",both,train
112,10.1016/j.cplett.2018.06.028,"Interestingly, our best estimation for the De using the CCSD(T)/CBS approach is only 0.2 kcal/mol larger than that computed using the aug-cc-pwCVQZ basis set.",no,train
113,10.1002/anie.201503477,"This work may not only arouse future attention on OVs for sodium energy storage, but also open up new possibilities for designing strategies to utilize defects in other energy storage systems.",no,train
114,10.1021/acs.chemmater.8b02862,These strategies limit the known issue of the dissolution of small organic molecules into the electrolyte.,micro,train
115,10.1016/j.cej.2019.123839,Establishing advanced sodium-ion batteries (SIBs) with high energy density and eco-friendly electrode materials are still far from satisfactory due to the large-size of sodium-ions and sluggish redox kinetics during electrochemical processes.,micro,train
116,10.1039/c2nr32758a,"Due to the lower diffusion coefficient of Na-ion and higher contact and charge transfer resistances in NaFePO4 cathodes, the rate performance of C-NaFePO4 in Na-ion batteries is much worse than that of C-LiFePO4 in Li-ion batteries.",both,train
117,10.1002/anie.201908830,"In conclusion, inspired by the merits offered by asymmetric anions in the ionic liquids, such as low viscosity, low density, low melting point and good electrochemical stability, we have successfully discovered the first room-temperature hydrate melts of Na and K salts by utilizing asymmetric salts and then exploring their optimized eutectic systems.",no,train
118,10.1021/acsami.9b03326,"Herein, we developed Ru-substituted P2-Na 0.6 MnO 2 as a promising sodium host with a high reversible capacity and cycle life.",no,train
119,10.1016/j.jallcom.2017.10.048,"These lead satisfactory performances in Na cells, although the conversion and subsequent de-/alloy reactions degrade the SnO2/rGO with the large Na+ ions during cycling.",both,train
120,10.1016/j.electacta.2014.10.050,The mechanism of phase separation and coexistence of LTO and Na-LTO in a single particle is not clear at present.,no,train
121,10.1039/c5cp07474f,We confirm the structure of the previously synthesized (covalent) Li-TCNE crystal and predict the existence of its Na-TCNE analogue.,no,train
122,10.1002/adma.201605535,Rechargeable sodium-ion batteries are proposed as the most appropriate alternative to lithium batteries due to the fast consumption of the limited lithium resources.,intro,train
123,10.1016/j.cej.2020.124210,"Similar to the CV presentation in liquid electrolyte, the peaks at ~1.4V and ~1.0V belong to the generation of Na2S4 and lower-order sodium polysulfides (Na2Sn, 1<=n<=3).",no,train
124,10.1002/anie.201802672,"The sluggish sodium reaction kinetics, unstable Sn/Na2O interface, and large volume expansion are major obstacles that impede practical applications of SnO2-based electrodes for sodium-ion batteries (SIBs).",macro,train
125,10.1039/c4ta02383h,Na-ion batteries are currently the focus of significant research activity due to the relative abundance of sodium and its consequent cost advantages.,intro,train
126,10.1021/acs.chemmater.9b00471,This is important as the limit of stability of PBA materials at low potential is currently unknown.,micro,train
127,10.1039/c5ta07223a,"We also find that the electrolyte (1 M NaClO4 in PC) severely decomposes at the electrode/electrolyte interface during deep electrochemical cycles (6000 cycles), resulting in the deterioration of the electrode and fast capacity fading.",both,train
128,10.1039/c9ta90197c,The new figures were reviewed by an independent expert.,no,train
129,10.1039/c4ee03192j,"Over the decades the huge commercial success of Li-ion batteries leads to even more investments in Li-ion battery research in order to improve the energy density, safety and manufacturing cost of fully functional units.",intro,train
130,10.1039/c5ra21589g,"In summary, we have demonstrated a facile method for synthesis of cs-CoxSy/DPC that in situ derived from ZIF-67.",no,train
131,10.1021/acsami.6b07054,"The residual after the test above 450 degC increases with increasing NaBF4 concentration, because the decomposition products of NaBF4 exist in the crucible.",no,train
132,10.1021/nn502284y,Further investigation is needed to address this question with controlling the reaction kinetics to satisfy the engineering applications.,no,train
133,10.1021/acsami.6b05973,"To eliminate the O2, the tube furnace was purged with high-purity N2 gas over 2 h.",no,train
134,10.1039/c5ta09867j,"For example, electrode materials for sodium-ion batteries are generally subjected to greater strains upon sodiation and desodiation, leading to reduced capacity and poor cycling stability in comparison to their lithium-ion counterparts; the slower diffusion rate of Na+ ions also results in the inferior electrochemical performance of sodium-ion batteries under high current rates.",both,train
135,10.1002/anie.201908830,"Aqueous Na- or K-ion batteries could virtually eliminate the safety and cost concerns raised from Li-ion batteries, but their widespread applications have generally suffered from narrow electrochemical potential window (ca. 1.23 V) of aqueous electrolytes that leads to low energy density.",both,train
136,10.1039/c4ta03788j,"The development of amorphous materials could enable the usage and design of previously unexplored electrode materials; herein, the possible relationship between the improved sodiation properties and the amorphous structure is discussed.",no,train
137,10.1039/c5ee00878f,"As a substitute, Na ions have to diffuse through interstitial regions within arrays, which would lead to incomplete active sites for Na+, then showing decreased capacities of A-Sb NRs.",micro,train
138,10.1016/j.commatsci.2015.04.027,"The performance of DFT first-principles calculations on LiCoO2 crystal has already been assessed in our previous publication.To compute AEP, we used a 108-atom supercell (3x3x1 unit cell), which is essential to mimic the deintercalation of Na ions.",no,train
139,10.1039/c5ta01191d,"Hollow amorphous NaFePO4 nanospheres were prepared on a large scale by a simple in situ hard template process, wherein the hollow nanospheres exhibited a high storage capacity and high rate as a cathode material for sodium-ion batteries.",no,train
140,10.1021/acs.jpcc.7b02479,"Therefore, only the region to the left of the solid line in Figure 6 should be analyzed, as in this study we are interested in analysis of interactions of the gas phase water with Na2Fe2(SO4)3.Figure 6 shows that Na2Fe2(SO4)3 cathode material is more stable at higher temperatures for any partial pressure of water.",no,train
141,10.1039/c8ta90016g,The authors regret an omission of author contributions.,no,train
142,10.1016/j.electacta.2016.01.054,"Environmental concerns over the use of fossil fuels and their resource constraints have motivated the development of electric and renewable energy systems for portable electronic devices, electric vehicles (EVs), and energy storage system (ESS).",intro,train
143,10.1002/anie.201900005,"Upon a further increase in temperature to 1550 degC, the oxygen content decreased to 0.3 wt.% at.",no,train
144,10.1002/aenm.201600389,"- To develop high-performance SIBs, it remains challenging to discover/develop suitable electrode materials (especially cathode) to satisfy the requirement of long-term cycling stability and rate-capability.",macro,train
145,10.1021/acs.jpcc.8b08208,"Given these results and the limited ionic diffusion and conductivity shown in Figure b, respectively, it is unlikely that these materials can be used for high-performance solid electrolytes.",macro,train
146,10.1002/aenm.201100655,"However, attempts to realize effective Na-ion batteries have been made with little success up to date, because of the difficulties in finding appropriate cathodic and anodic materials that have an adequate electrochemical capacity and reversibility for Na+ insertion reaction.",macro,train
147,10.1002/jcc.25582,"Our SGCMC simulations ignored nonoccupation of Na or other elements at the Na1 site, thus, other phases that were not obtained would appear at a high temperature.",micro,train
148,10.1016/j.jssc.2019.121011,"As the world's energy consumption grows, so does its need for lithium and hence concern about the sustainability of LIB is rising.",intro,train
149,10.1039/c9ta06713b,Several methods have been adopted to overcome this problem.,no,train
150,10.1039/c7ta00132k,"Even though we do not know how to attain the full storage capacity of PB, this research sheds light on how substituting transition metal ions affects the electrochemical performance of PB.",no,train
151,10.1039/c3ra23026k,"The change in the elemental composition and chemical bonding nature in chemically oxidized Na2-xCoP2O7 was further affirmed by FT-IR spectroscopy and EDX analyses as reported in the ESI.+From a synthesis point of view, Na2CoP2O7 can be easily made both by solid-state as well as solution combustion syntheses.",no,train
152,10.1039/c3ra23032e,"Increasing CNT loading would lead to a higher electrochemical activity for Na0.44MnO2, but may not be applicable in practice due to high cost.",macro,train
153,10.1039/c6ta07109k,"However, similar to Li3V2(PO4)3, NVP has pretty low electronic conductivity; thus the theoretical capacity is not fully accessible even at comparatively low rates, presenting a major drawback for further practical applications, especially when high rate capability is especially important (e.g., plug-in hybrid vehicles and electric vehicles).",both,train
154,10.1002/adma.201501527,"However, the cycling life of cathode materials is usually faded, owing to irreversible structural changes induced by the large expansion of Na layers and the co-insertion of electrolyte solvents.",both,train
155,10.1016/j.electacta.2018.06.082,"However, the battery type electrodes usually exhibit sluggish reaction kinetics than capacitor type cathodes due to slow Na ion insertion and extraction, which greatly hinders the rate performance.",both,train
156,10.1016/j.electacta.2018.11.137,"It may be responsible for better cycling performance of NCFMT than NCFM, because the O3/P3 transition involves oxygen layer gliding, associated with the deterioration of cyclability.",both,train
157,10.1016/j.commatsci.2017.03.031,A fast and accurate theoretical method for finding possible candidates for organic electrode materials for Na-ion batteries is urgently needed.,intro,train
158,10.1016/j.jpowsour.2017.10.088,"Active carbon is currently the most commonly used anode material, but its high cost and low capacity (26 mAh g-1 at 1C) limited its application.",macro,train
159,10.1021/acsaem.8b00889,"Polyanion-based compounds have attracted extensive interest due to their cycling stability, safety, and adjustable operating voltage.",no,train
160,10.1016/j.electacta.2017.09.020,"A serious polarization behavior is indicated by the potential difference between the anodic and cathodic peaks (DEp = 0.28 V) of bare NTP, which is attributed to the quite limited electrical conductivity of the NaTi2(PO4)3.",both,train
161,10.1021/acssuschemeng.7b00196,"Thus, we believe that Y-doped Na2ZrO3 not only represents a new sodium cathode but also suggests broad classes of defective Na-rich layered oxides that will promote the progress of sodium-ion batteries, although several issues still need to be addressed, including advanced cabon coating technology and oxygen reaction in the bulk.",intro,train
162,10.1039/c8nr00650d,"Nevertheless, continuous cycling curves shown in Fig. 4(d) indicate that this electrode shows to some extent electrochemical polarization, especially in charging processes.",micro,train
163,10.1016/j.nanoen.2018.07.036,"The polymer have the mechanical flexibility and good interfacial compatibility, however, the long cycling stability of all-solid-state Na batteries cannot be achieved as the low ionic conductivities at room temperature, and the poor interfacial and electrochemical stabilities during charging/discharging.",both,train
164,10.1021/acsami.8b02768,"Evidently, the low-potential A1/C1 redox couple yields smaller D app,Na values than those of the high-potential couple, suggesting that Na intercalation/extraction at a low potential of around 3.5 V is relatively sluggish and requires higher energy, which is a common result and consistent with previous reports in the liquid electrolyte.",macro,train
165,10.1039/c8ta90150c,The authors are in the process of repeating the experiments to confirm the validity of the TEM images in the published figures.,no,train
166,10.1016/j.electacta.2019.05.109,Literature reports on TiO2 anodes are confined to their electrochemical performance and some extent to sodium-ion storage.,no,train
167,10.1039/c6ta04986a,"To answer this question, in this work, we systematically investigated the intercalation and migration of Li, Na, K and Mg ions in both bulk and monolayer V2O5 by using first-principles computations.",no,train
168,10.1016/j.electacta.2013.10.211,"Though the NaMF electrode exhibits a high reversible capacity (>200 mAh g-1), its cycling performance is poor.",macro,train
