doi,text,label,split
10.1039/d1nj00262g,"In this study, unlike the traditional preparation method of cathode (huge energy consumption and super long synthesis time), loose and porous material NFPS was successfully prepared by a quick and simple sol-gel self-propagating combustion method.",both,train
10.1021/acsami.7b10637,This two-step method can restrict the high-temperature annealing step within 1 min to produce carbon-coated nanoscale product phase approaching one-electron theoretical capacity.,both,train
10.1039/c7ta11180k,"Consequently, by synthesising a multiphase manganese rich material it should be possible to achieve enhanced physical and electrochemical properties.",both,test
10.1016/j.nanoen.2015.02.019,"Compared with other coating methods, this method is facile, one-step, and energy-effective, especially because it does not need external oxidation as the driving force of the polymerization, eliminating the risks of residual oxidant or oxidant by-products.",both,train
10.1039/c9ta08603j,The high purity single crystal morphology can also reduce the side reactions on the electrode/electrolyte interface.,both,train
10.1039/d1ta07940a,This result demonstrates HTP synthesis with sol-gel method provides quality materials and good electrochemical performance consistent with that obtained in the literature (as also demonstrated in ref. ).,no,train
10.1039/c4ra01391c,The addition of NH4OH results in the formation of a homogeneous powder with a lower resistance and larger carbon content on the cathode surface.,no,train
10.1016/j.elecom.2013.10.008,"It has been emphasized that the synthesis conditions (partial pressure, Na:Mn:Fe ratios, etc.) are critical in order to obtain the desired structure, but a synthesis under air is by far more economical.",both,dev
10.1016/j.electacta.2019.04.183,"Meanwhile, fluorine doping avoids the formation of extra O3 phase by reducing the average valence of transition metals.",both,train
10.1016/j.nanoen.2018.11.011,And spray-drying has been considered as an effective and low cost approach for future large scale synthesis of electrode material. ,both,train
10.1002/celc.201700958,The nanosized particles would favor fast reaction kinetics due to shortening of charge-transfer pathway. ,both,train
10.1039/c2cc33771a,"Furthermore, NZH holds the additional advantage that the compound can be synthesized from low cost raw materials through an environmentally friendly process at low temperatures, which should be crucial for large-scale ESSs. ",both,dev
10.1002/celc.201600221,"Nonaqueous organic liquid electrolytes have been widely used in commercial LIBs;6 they are of higher ionic conductivity and better cycling performance, but pose a safety problem in terms of the flammability of organic liquid electrolytes. ",both,train
10.1016/j.electacta.2015.04.125,"Although the cycling performance of P2-Na2/3Ni1/3Mn2/3O2 cathode can be improved by limiting the upper cut-off voltage to 4.0V, this also leads to a reduced reversible capacity (84mAhg-1). ",both,dev
10.1039/c3cp00070b,"However, although at 4.2 V the delivered capacity is higher than that obtained at 4.0 cutoff, its retention is much lower, i.e., passing from 155 mA h g-1 to about 90 mA h g-1 over the cycling test, see Fig. S1 in the ESI.+ The charge-discharge efficiency was approximately 98.7% for the cycle at 4.0 V cut-off, however, it decreased to 93% for the cycle at 4.2 V cut-off, indicating that the difference in the theoretical capacity value as well as the capacity decay upon cycling are probably ascribed to partial electrolyte decomposition. ",no,test
10.1039/c6ta10334k,It was evident that a small amount of Cu in the lattice was sufficient to smoothen the plateau at higher voltages at the expense of a small capacity due to the electrochemically inactive nature of the Cu ion. ,no,train
10.1039/c9ta00968j,"Therefore, the polarization loss of the battery decreases significantly during the cycling process, which improves the battery performance. ",both,train
10.1021/acs.chemmater.6b04769,"One strategy to improve cycling performance has been to dope Ni2+ with other 2+ cations, such as Zn2+ or Mg2+, which improved capacity retention but significantly decreases reversible capacity, since these ions were not electrochemically active. ",both,train
10.1002/adfm.201100854,"Although all systems showed a high reversible capacity >200 mAh g-1 (negative electrode basis) during the initial cycles, a decrease in the reversible capacity was observed in the NaClO4 system (Figure S9). ",no,train
10.1016/j.electacta.2019.06.020,"Lee and Qi synthesized P2/O3 mixed phase materials by incorporation of Li into O3-NaNi0.5Mn0.5O2 material or tuning the sodium contents in NaxNi0.2Fex-0.4Mn1.2-xO2 with good rate performances and cycling performance [,], but the cutoff voltage is 4V which results in low initial capacity of about 86 mA h g-1 and 125 mA h g-1. ",no,train
10.1021/acsami.5b09835,"However, the key condition for obtaining maximal capacity of full cells is pretreatment of the anode, namely prelithiation or presodiation. ",both,dev
10.1021/jacs.7b00164,"By limiting the cutoff voltage to 4.1 V, the cycling performance can be largely improved, yet at the expense of more than 40% of the total capacity. ",both,train
10.1016/j.electacta.2016.04.138,"However, several electrochemically active systems for sodium-ion batteries (SIBs) have been thoroughly explored during and after the year 2010, addressing various concerns including poor capacity retention, low reversible capacity etc.,,,. ",no,train
10.1002/anie.201602202,"To reduce the ohmic resistance for improving the rate capability, the electrode design needs to be further investigated with P2-type Na0.67Mn0.67Ni0.33-xMgxO2 as the cathode materials for SIBs. ",no,train
10.1016/j.electacta.2015.04.125,"Consequently, it is crucial to control the voltage range of the cell so as to obtain electrode with good cycling performance. ",both,train
10.1039/c3cp00070b,"It is worth noting that prior to the assemblage of the battery, the Sn-C composite anode was sodiated in order to reduce its initial irreversible capacity. ",no,train
10.1039/c6ta10334k,"Hence, it was essential to design a suitable strategy to minimize these drawbacks and improve the interfacial reactions in order to obtain high-rate cathodes with good durability. ",both,dev
10.1021/acsami.7b05326,ALD coatings on P2-cathode materials for NIBs is still in its infancy; there is a need to understand how ALD coatings improve the cycling performance by investigating the electrode-electrolyte interface. ,no,train
10.1039/c8nr02604a,"Na0.5Ni0.25Mn0.75O2 (NNMO) micro-sheets are novel and attractive cathode materials for Na-ion batteries because of the high capacity and a considerable operating voltage of 3.8 V versus Na/Na+, while the rate and cycling capabilities were not satisfactory. ",no,train
10.1002/aenm.201502568,"In addition, this anode shows a low Na insertion potential (0.3 vs Na, unless otherwise indicated), which can lead to a higher operating voltage and energy density in practical batteries. ",no,dev
10.1002/aenm.201502568,The ST-NTO electrode was presodiated to minimize the irreversible capacity loss. ,no,train
10.1039/c8ta08796b,"Therefore, it is thought that sacrificing salts are applicable to these kinds of sodium deficient cathode materials to overcome the limitation of insufficient charge capacity. ",both,dev
10.1021/ic300357d,"In the voltage range of 2.2-4.5 V, a higher reversible capacity of 185 mAh g-1 is achieved; however, its reversibility is insufficient because of the significant expansion of interslab space by charging to 4.5 V versus sodium. ",no,train
10.1002/aenm.202001111,"[ - ] To reach similar energy densities as LIBs, promising cathode materials for SIBs must possess high capacity to compensate for their intrinsically low operation voltages. ",no,train
10.1002/aenm.202001111,"Usually, P2-type electrodes suffers from the abnormal low Coulombic efficiency (CE) at the initial cycle, however, the P2-Na2/3[Zn0.3Mn0.7]O2 electrode exhibited high CE, which benefits in full cell configuration. ",both,train
10.1002/adfm.202010500,"Therefore, it is necessary to tune the addition amount of SA to achieve optimal properties of the interphase layers. ",both,train
10.1002/smll.201900356,"This method can avoid the loss of F element during synthesis, - leading to phase pure NVOPF without other impurities.",both,train
10.1002/smll.201900356,The key point of this strategy is to prepare the small sizes of particles and to disperse such particles well in the solvent to avoid settlement during ESD process.,both,dev
10.1016/j.jcis.2018.07.114,The synthesis conditions such as reaction temperature and carbon content have been optimized by comparatively investigating charge/discharge performance of the resultant NVPF/C materials.,both,train
10.1016/j.jcis.2018.07.114,The result exhibited in Fig. S2 and Table S1 signifies that the higher temperature leads to lager crystallite size owing to fast growth of crystals at elevated temperatures.,no,train
10.1016/j.nanoen.2016.11.023,"Moreover, this type of materials could be fabricated at a relatively low temperature, and no additional high-temperature solid-state treatments are needed.",both,dev
10.1016/j.nanoen.2016.11.023,The rate capacity performance of sample 2 was improved due to the size decrease in primary particle resulting from the Ru doping.,both,dev
10.1039/c9cc08225e,"Liquid nitrogen is used to quickly immobilize the uniform distribution of components, avoiding precipitation as in the case of gradual temperature decrease.",no,dev
10.1016/j.cej.2018.09.099,"It can be conclubded that PVP addition is able to reduce the size and agglomeration of the NVPF particles, which may benefit for enhancing the electrochemical performance.",both,train
10.1039/c5ra16297a,Pure Na metal also cannot be used because of dendrite formation while charging-discharging and low melting point which causes safety issues.,no,train
10.1002/ente.201901304,"Although these methods seem to be rather facile, their duration varies from 8 to 65 h and involves intermediate grindings and a perfectly controlled atmosphere for all annealing steps.",no,train
10.1002/ente.201901304,"A spray-drying method is also reported in the literature, which is quite fast (takes approximately 4 h, including the heat treatment), but involves a multistep procedure.",no,dev
10.1039/c4ta00773e,"The total sodium content, 2.60(12), also illustrates a decrease with respect to the raw material, 3.04(3), probably due to cathode preparation process (material heating, pressing, etc.) or by some sodium interchange due to the contact with electrolyte in the half cell.",no,test
10.1039/c8qi01374h,It has been reported by several groups that the high-temperature solid-state (HTSS) reaction can be adopted to prepare the NVPOF cathode material for SIBs.,no,test
10.1002/smll.201900356,"More importantly, the simple and extensible two-step strategy used in ESD technique can be further applied to other materials that are difficult to spray in one step.",both,test
10.1039/c8ta01392f,"In addition, it has been accepted that the in situ conductive carbon achieved by carbonizing the precursor is more efficient than the additional carbon sources to further improve electrochemical performance.",both,dev
10.1039/d0ta07966a,Developing low temperature and solvent-free synthesis routes of sulphide materials has therefore become an important research topic.,no,train
10.1002/cssc.201801662,"Therefore, rational design and synthesis of micro/nanostructured anode materials on a large scale are needed for facile Na storage in SIBs.",no,train
10.1039/c5cc01504a,"In order to save energy and decrease cost further, it is essential to explore a low-temperature process for the synthesis of electrode materials.",no,train
10.1039/c9ra05089b,"Among many preparation methods, the single-step solid-state reaction method is economical.",no,test
10.1002/ente.201901304,"Moreover, SPS could be adopted for the synthesis of air-sensitive materials, materials with high reaction temperatures as well as for materials when maintaining the small particle size is crucial.",no,train
10.1039/c8qi01374h,"In order to avoid these deficiencies, the present study reveals a simple hydrothermal method to effectively regulate the morphology and size uniformity of the NVPOF particles and optimize the electrochemical properties by precisely adjusting the key preparation parameters including pH and temperature.",both,test
10.1016/j.nanoen.2018.02.053,"For all the NVPF-Ti0.1x+ (x = 2, 3, 4) samples, the advantage of the VSC-doping NVPF-Ti0.1x+ (x = 2, 3) is more obvious than that of the VSU-doping NVPF-Ti0.14+ sample, due to a smaller particle size distribution obtained based on the valence state change process during the synthesis.",both,train
10.1039/c9ra02257k,This inspired us to explore the microwave-assisted hydrothermal (MW-HT) synthesis of electrode materials.,no,test
10.1039/c9ra02257k,The main advantages of the hydrothermal/solvothermal methods are a significant decrease in the synthesis temperature to <150 degC and their flexibility regarding the synthetic parameters and reagents used.,both,train
10.1039/c9ra02257k,The effect of microwaves significantly decreased synthesis time from hours to minutes.,both,train
10.1039/c9ra02257k,"The morphology and size of particles can be easily controlled using various reducing agents and by changing the synthesis parameters (temperature and time), as clearly demonstrated in the present study for Na3V2O2x(PO4)2F3-2x materials.",both,test
10.1039/c9ra02257k,"The precursor materials were readily available, including inexpensive salts, reducing agents, and V2O5 as the vanadium source, which allowed intermediate stages for V5+ conversion to V3+/V4+ or the preparation of precursors containing reduced forms of vanadium to be avoided.",both,dev
10.1039/c9ra02257k,"When applied to the Na3V2O2x(PO4)2F3-2x solid solutions, this microwave-assisted hydrothermal method appeared to be very flexible, allowing for control of the vanadium oxidation state and O/F content, as well as the microstructure of the material, by varying the nature of the reducing agent.",no,train
10.1016/j.electacta.2015.01.186,Carbon coating is an effective way to improve the electrode performance.,both,train
10.1016/j.electacta.2018.12.131,"More importantly, Na3V2(PO4)2F3/C is of great competence to serve as cathode for future sodium ion batteries applied in energy storage systems, and this simple one-step carbothermal reduction strategy to get Na3V2(PO4)2F3/C will make contributions to accelerating this process.",no,train
10.1016/j.jcis.2018.07.114,"The capacity enhancement in the carbon content of 2.0-3.4 wt% can be attributed to facilitation of reaction kinetics induced by the improved electron conductivity, while the capacity decay by increasing the carbon content from 3.4 wt% to 6.6 wt% can be mainly ascribed to reduction of active NVPF composition.",both,dev
10.1002/admt.201600227,"Due to the high directionality and focalization of a laser, it is possible to heat an irradiated object to high temperature within seconds, although in the present case, its power is limited by the presence of the substrate, and the thickness of the sample is limited by the lack of transparency to UV light of the irradiated material.",no,train
10.1002/smll.202004925,"[20-22] Therefore, Na3V2(PO4)2O2F (abbreviated as NVPF) is highly desirable as cathode material for SIBs from the practical application of SIBs' point of view and investigations on the synthesis and performance of NVPF is strongly necessary.",no,test
10.1039/c8ta01627e,"Furthermore, reducing the particle size can further improve the utilization of active materials and shorten the diffusion path of Na+.",both,train
10.1002/aenm.201700514,"Since then, several studies have shown that Na3V2(PO4)2F3 can be synthesized by multiple routes, and when optimized can operate for thousands of cycles with negligible capacity fading.",no,train
10.1002/aenm.201700514,"The scientific community concentrated primarily on Na3V2(PO4)2F3 (y = 0), which can be easily synthesized by standard solid state techniques.",no,train
10.1002/cssc.201801662,"It was recently reported that a one-step replacement reaction was used to synthesize Bi nanoflakes on a three-dimensional (3D) porous Ni foam to boost the electrochemical storage of Na, which largely simplifies the production of electrodes.7 Because of the low melting point and softness of Sn, it will be quite challenging to construct 3D porous Sn electrodes on a large scale.",no,train
10.1016/j.cej.2019.123952,"Along with proper dispersants and the assistant of surfactants, solid-phase synthesis is potential to prepare materials with unique shapes [15,53,54].",no,train
10.1021/cm500106w,Another advantage to substitution at the O site is that it has little influence on the framework so that the structure is more likely to be synthesized.,no,train
10.1002/ente.201901304,"- SPS utilizes a pulsed direct current along with a uniaxial pressure to create very compact materials in a short time while maintaining an excellent grain-to-grain bonding and retention of initial particle/grain size.Apart from the obvious simplification of the synthesis route as well as synthesis time reduction, SPS also prevents the possible oxidation of the precursors/final compounds due to the inert (Ar) atmosphere of the sintering chamber, making this method very attractive for a variety of applications.",both,train
10.1021/acs.chemmater.7b00927,"Furthermore, from the practical application point of view, such a one-step, low temperature hydrothermal approach will greatly reduce the cost of material production compared to the conventional two-step, high temperature method, promoting the application of NVPF [?",both,test
10.1039/c9cc05137f,Bianchini et al. have reported an aluminium substitution for vanadium in NVPF limited to z = 0.3 (Na3V1.7Al0.3(PO4)2F3) via a solid-state reaction.,no,train
10.1021/acs.chemmater.7b02397,"The behavior observed here suggests that, as the sodium concentration in the material increases above a critical value (~0.70 Na in this case), the sodium located in the Naf crystallographic site begins to migrate to the Nae site; a direct pathway between the adjacent prismatic sites was postulated previously.",no,train
10.1016/j.jallcom.2019.01.046,"As indicated in Ref., olivine materials with an AlF3 coating can better reduce the surface resistance and facilitate lithium diffusion through an electrode and aqueous electrolyte interface than organic electrolytes with a conventional SEI layer.",both,train
10.1016/j.jmr.2016.02.008,The expected increase in global energy consumption along with the demand for reduced or zero-emissions energy sources have raised the awareness of the need for efficiency and sustainability.,no,train
10.1016/j.jpowsour.2016.07.061,"The XRD pattern shows a remarkable change as the calcined temperature increases to 600degC, suggesting that the structure of Na4Fe3(PO4)2(P2O7) is damaged by excessive temperature.",no,dev
10.1016/j.jpowsour.2014.12.083,All peaks become broader and their intensities decrease as the amount of Zn substitution increases.,no,train
10.1002/cssc.201802988,This leaves the possibility of increased diffusion of the Na+ ion if water is added; this occurs most likely through the structural rearrangement mechanism because the vehicular diffusion mechanism would be associated with viscosity.,no,train
10.1021/acs.chemmater.5b03276,"During the discharge process, Mn should be reduced toward the 3+ oxidation state where high-spin Mn3+ induces a strong Jahn-Teller distortion, and the opposite is true during the charge process due to the increase in concentration of high-spin Mn4+.",no,train
10.1016/j.jallcom.2019.01.125,"Also, the peak area of K-doped samples is larger than non-doping and the intensity of redox current peaks are obviously increased when the component of K-doping is less 8%.",no,test
10.1039/c5ta03127c,"As the voltage increased, the reaction activity gradually increased, and Rct reduced, resulting in an increase in DNa+ and the number of sodium ions passing through the SEI film with a certain number of pores, and the channels became crowded, which leads to the increase of Re.",no,dev
10.1039/c8ta01627e,"Compared to O3 type and P3-phase NaxMO2, P2-type NaxMO2 might be a better candidate.",no,test
10.1016/j.jpowsour.2019.02.061,"NMg-0.15 and NMg-0.2 exhibit better overlaps, suggesting excellent capacity retention during the 100 cycles.",both,train
10.1039/c7ta11110j,"In our previous work, it was found that the nitrogen-doped carbon materials can efficiently increase the electronic conductivity of the electrode materials, due to the relatively electron-rich nitrogen atom compared to the carbon atom.",both,dev
10.1002/aenm.201501555,"The intense specific current peak at 2.1 V is a result of the higher manganese content and, thus, increased participation of the Mn3+/Mn4+ redox couple in the overall electrochemical redox process in comparison to the other two materials.",no,dev
10.1002/aenm.201501588,"Compared with N2 it is well known that CO2 is able to access better the narrow pores (ultramicropores) due to the enhanced diffusion, thus higher CO2 may be adsorbed.",both,dev
10.1039/c9ta03089a,"As a result, additional active sites are activated in the inner structure of the NFS cathode for increased sodium ion storage.",both,train
10.1016/j.jallcom.2019.01.046,Table1 shows that the AlF3-coated NaFePO4 maintains a better electrochemical performance in the aqueous electrolyte.,both,train
10.1016/j.jcis.2018.07.114,Synthesis conditions such as hydrothermal temperature and molar ratio of raw materials have been optimized with aim to reach a higher product yield.,both,train
10.1016/j.jcis.2018.07.114,"Hence, the hydrothermal temperature of 120 degC is considered as the optimum synthesis condition in this work.",both,dev
10.1039/d0ta10238e,"In this regard, the slurry spin-casting method can reduce the interfacial contact resistance of the components and maintain the structural integrity, especially as the electroactive species undergo mechanical deformation or volume excursions upon the sodiation/desodiation cycles.",both,train
10.1002/smll.201900356,"This approach does not need high temperature annealing, which saves energy for the synthesis process.",both,train
10.1039/c9cc05137f,"In order to minimize the possible departure of harmful HF during the evaporation step, which may be the cause of the formation of NASICON-type phases, the synthesis procedure was further modified by using a NH4OH (28-30% NH3 basis) buffer solution to adjust the pH of the solution at ~9.2 during the dissolution process.",both,train
10.1002/admt.201600227,"Laser heating enables us to avoid the long time and energy losses occurring during the slow ramping up and cooling down processes in conventional furnaces, hence rendering the overall process less energy hungry.",both,train
10.1039/c8ta01627e,"Therefore, it is necessary to explore the synthetic methods for preparing bilayered-V2O5 for cost-effective high-power SIBs.",no,train
10.1016/j.electacta.2019.135502,The determination of the cell internal resistance by impedance spectroscopy also shed light on the beneficial effect of the use of an oleic acid-based emulsion method to synthesize Na3V2(PO4)2F3 as cathode material for SIBs.,both,train
10.1016/j.cej.2019.123952,"Among these strategies, downsizing particles with even distribution offers multiply diffusion routes for ion transportation and increases the actual accessible bulk surface to electrolyte, which not only benefits the fast ionic diffusion dynamics but represses particle pulverization and electrolyte penetration into the electrode bulk [31,44,45].",both,train
10.1016/j.cej.2018.07.114,The effect of synthesis conditions on the materials' electrochemical performance was also evaluated.,no,test
10.1016/j.solidstatesciences.2012.09.012,"Taking the simple and economical characteristics into consideration, carbothermal reduction (CTR) method has been an optimum way to prepare a series of analogical cathode materials such as Li3V2(PO4)3, which could leave the coated carbon on particles to suppress their growing and increase the electronic conductivity.",both,dev
10.1039/d0ta04034g,"The new solvothermal synthesis here developed is a simple and low cost synthesis route that enables an unprecedented control of the Sn3N4 particle size, which is critical to achieve full utilization of Sn3N4 and thus high capacity.",both,dev
10.1021/acsami.7b10637,"However, the low temperature step of combustion method particularly employs water-soluble precursors to ensure quick and intimate mixing.",both,train
10.1016/j.cej.2019.01.177,"Therefore, it is imperative to seek a convenient and efficient method to synthesize air stable NFPO for good high-rate charge/discharge performance and the cyclic stability.",no,test
10.1016/j.jnoncrysol.2014.07.028,"The advantages in the glass-ceramics route for the fabrication of phosphate-based cathode active materials are: (1) inexpensive raw materials such as a-Fe2O3 are used as starting materials, (2) both crystallization and carbon coating process can be achieved simultaneously through one step and (3) ferromagnetic impurity phase such as Fe2P is not formed.",both,dev
10.1039/c3ee40914g,The topotactic synthesis method ensures that the obtained product forms with a minimum concentration of antisite defects.,both,train
10.1002/adma.201501527,"As reported by Sauvage et al., Na0.44MnO2 particles prepared by a solid-state synthesis method exhibit a low reversible capacity (about 80 mA h g-1 at 0.1 C) and a poor cycling life (only 50% capacity retention after 50 cycles) due to increased polarization.",no,train
10.1002/adma.201501527,The electrochemical performance can be improved by modifying the synthesis method and optimizing the material morphology.,both,train
10.1016/j.elecom.2011.08.038,"The electrode performance of the sample with 1.3% carbon in the Na cell is highly improved compared with previous report, in which a solid-state method or ionothermal method is used for the materials synthesis combined with subsequent carbon coating step (ca. 5wt% carbon in the sample).",both,train
10.1016/j.colsurfa.2019.123957,"In addition, the introduction of conductive carbonaceous materials is capable of significantly enhancing the electronic conductivity of electrode materials, and also inhibiting the agglomeration of nanoparticles during the synthesis and charging/discharging process [,].",both,train
10.1016/j.ssi.2018.01.041,"In contrary, we obtained precursor via low temperature precipitation technique leading to formation of nano- and sub-micrometric grains (Figs. 3 and 4 - see further discussion), which are more chemically and electrochemically active - lower diameter of grains enhances reactions surface area and reduces lithium diffusion pathways.",both,test
10.1039/c7ta05680j,"This method has several advantageous features such as: (i) water-compatible solubility of metal-salt precursors; (ii) synthesis of phase-pure nanocrystalline materials at low temperatures (<320 degC; highest boiling point of polyols); and (iii) mild reducing conditions to prepare metals/oxides/phosphates in their reduced state, such as for the synthesis of LiFePO4.",both,train
10.1039/d0qi01361g,"These superior properties also suggest that the two-phase method could be extended to the synthesis of other types of PBAs, such as Mn-PBAs, Co-PBAs, or even more materials that currently have poor crystallinity resulting from their rapid nucleation and growth.",no,train
10.1039/c7ta04946c,Such an effective electrode architecture demands a new synthesis method.,no,train
10.1111/jace.16607,"If an all-solid-state battery with an oxide material can be constructed the sintering reaction will proceed at a lower temperature and in a shorter time, and it will be necessary to form a strong bonding interface between the solid electrolyte and the active material.",no,train
10.1039/d0ta04034g,"Solvothermal synthesis has become an effective, well-controlled route for the preparation of crystalline metal nitrides.",no,train
10.1039/d1nj00262g,"The proper carbon content not only improved the conductivity of the materials, but also reduced the sodium ion migration time by a smaller particle size.",both,dev
10.1039/d0qi01361g,"In order to solve aforementioned issues, several research groups used sodium citrate as a chelating agent in the synthesis process to slow down the entire crystallization process to obtain PBAs with low defects and a high Na+ content.",no,test
10.1039/d0qi01361g,"In general, we can make full use of the advantages of the two-phase method over a long-time period to control the crystallinity, the content of vacancy defects, and content of Na+, and the grain size of the crystal grains grown during the synthesis process, leading to an improvement of the charge-discharge capacity.",both,test
10.1016/j.electacta.2018.07.087,The result reveals that the synthesis temperature is desirable.,no,train
10.1016/j.elecom.2012.08.028,It can be easily prepared by conventional one-step solid-state synthesis.,no,train
10.1016/j.jallcom.2017.02.075,"It is well known that the pH values of the precursor solutions play an important role in controlling the size and morphology of the prepared materials, and further affect the electrochemical performances.",both,train
10.1002/cssc.202100247,"Reducing the particle size to the nanoregime can alleviate the detrimental effect of volume changes during cycling, and avoid the pulverization of electrode.",both,test
10.1039/c9ta08603j,"In recent years, two main kinds of approaches have been reported on preparing low defect PBAs by reducing the rate of precipitation reaction: one approach is an acid-assisted single iron-source method that was first reported by Guo et al. in 2014.",both,test
10.1039/c9ta08603j,"Actually, it is preferable to prepare electrode materials with micron-sized cube shaped particles, which show great benefits for producing high mass loading density electrodes.",no,train
10.1039/c4ra01391c,"Therefore, effecting precise control over the preparation conditions or synthetic modifications is a promising strategy to overcome these drawbacks.",both,test
10.1039/c4ra01391c,Many research groups have reported that the addition of a chelating agent during synthesis enhances the electrochemical performance by increasing the uniformity of powder size and crystallinity.,both,train
10.1016/j.elecom.2013.10.008,It is believed that the performance can further be improved by decreasing the particle size of the NaN3 and increasing the milling time of the composite cathodes.,both,test
10.1016/j.ssi.2019.03.014,"It has been reported in the literature that the co-precipitation parameters such as sodium ion content, reaction temperature and reaction time have a great effect on the structure and electrochemical performances of the final materials [26,27].",both,test
10.1039/c4ra10346g,"Therefore, the increased participation of Fe in electrochemical reactions as a result of the heat treatment in a reducing atmosphere increases the capacity degradation.",no,train
10.1016/j.electacta.2019.135533,"In comparison, higher concentration of TSC in the synthesis of NFF-3 sample leads to a slower increase in the absorbance of the reaction solution, suggesting a slower crystallization of NFF-3 than NFF-2. ",no,train
10.1016/j.electacta.2019.135533,"As mentioned above, low crystallization rate can effectively help to decrease the lattice defects during the synthetic process. ",both,test
10.1016/j.jpowsour.2016.05.050,"The addition of ACl (A=Na, K) to synthesize the material, although beneficial to raise the alkali content, can imply the risk of corroding the Al used as substrate from trace Cl. ",no,test
10.1021/cm403855t,"The Li stoichiometry decreases from 0.12 to 0.086 Li per formula unit upon initial charging to 4.1 V, mainly due to the loss of Li in Oh and Td sites in the Na layer, and, to a smaller extent, to Li loss in the TMO2 layer. ",no,train
10.1002/aenm.201400458,"However, in spite of their advantageous rate performance, the P2 phase is only found in sodium deficient compositions (i.e., Na/M < 1) that lead to low specific capacities. ",no,dev
10.1016/j.cej.2019.05.010,"Generally speaking, the (0 0 2) lattice plane is considered as the fast Na-ion channel, and the (1 0 0) crystal plane is perpendicular to the (0 0 2) crystal plane, and the dominant growth of the (1 0 0) lattice plane will hinder the transmission of Na-ion, as a result, the electrochemical properties of the sample materials deteriorate after exposure to the air. ",no,train
10.1016/j.cej.2019.05.010,"Because of the great decrease of crystallinity, NaMN shows a significant voltage platform attenuation and capacity decay. ",no,train
10.1016/j.electacta.2019.06.020,"Due to the high initial content of Na, the capacity of O3 phase material is usually higher than P2-type material , but it has complicated phase transition during charge and discharge (such as O3-O3'-P3-P3'-P3'' of O3-NaNi0.5Mn0.5O2). ",both,train
10.1039/d0ta07229j,"]0.1 V occurs for Na[Mi1/2Ni1/2]O2, suggesting that Na[Mn1/2Ni1/2]O2 would have relatively poor electrochemical efficiency in the regions where faster phase-transitions occur. ",no,train
10.1002/ppsc.201500129,"However, the capacity was limited to around 80 mA h g-1 and the material showed two voltage plateaus, resulting from the Na+/vacancy ordering and hereby restricting its applications. ",no,test
10.1016/j.cej.2019.122978,The slow diffusion of Na+ in i-NNM therefore leads to lower specific capacity within a short time (high current densities). ,no,test
